Gene stable ID	UniProtKB Gene Name ID	Gene name
ENSMUSG00000002804	A0A1Y7VLW5	Nudt14
ENSMUSG00000002804	Q9D142	Nudt14
ENSMUSG00000035686	Q543J4	Thrsp
ENSMUSG00000035686	Q62264	Thrsp
ENSMUSG00000118497		Dynapl1
ENSMUSG00000042211	A0A494BB05	Fbxo38
ENSMUSG00000042211	Q8BMI0	Fbxo38
ENSMUSG00000022906	H7BWY5	Parp9
ENSMUSG00000022906	E0CYZ7	Parp9
ENSMUSG00000051727	Q5EER8	Kctd14
ENSMUSG00000051727	A0A0U1RPG8	Kctd14
ENSMUSG00000051727	A0A0U1RNG7	Kctd14
ENSMUSG00000051727	F7DE04	Kctd14
ENSMUSG00000051727	A0A0U1RPQ8	Kctd14
ENSMUSG00000097476		Gm26583
ENSMUSG00000011158	G3X8S2	Brf1
ENSMUSG00000024983	Q5FWJ7	Vti1a
ENSMUSG00000024983	A0A286YDF2	Vti1a
ENSMUSG00000024983	O89116	Vti1a
ENSMUSG00000070601	A0A3B2WBK8	Vmn2r84
ENSMUSG00000070601	D3YWE3	Vmn2r84
ENSMUSG00000070601	A0A3B2WD95	Vmn2r84
ENSMUSG00000041479	Q8C6N3	Syt15
ENSMUSG00000082877		Gm13009
ENSMUSG00002074967		Gm55764
ENSMUSG00000007872	Q545W1	Id3
ENSMUSG00000007872	P41133	Id3
ENSMUSG00000090118		Gm16163
ENSMUSG00000101280		Gm8600
ENSMUSG00000109557		Gm18463
ENSMUSG00000089736	D3YZZ2	Tgfbr3l
ENSMUSG00000109276		Gm4548
ENSMUSG00000096513	D3YTW8	Vmn1r247
ENSMUSG00000040540		Ctdsp2-ps
ENSMUSG00000092048	G3UW56	Vmn2r85
ENSMUSG00000096760	D3YTX5	Vmn1r248
ENSMUSG00000109569		Gm44554
ENSMUSG00000095064	K9J7G0	Vmn1r135
ENSMUSG00000018983	P56931	E2f2
ENSMUSG00000063605	B2RTE5	Ccdc102a
ENSMUSG00000063605	E0CYE3	Ccdc102a
ENSMUSG00000063605	Q3TMW1	Ccdc102a
ENSMUSG00000092162	G5E8Y4	Vmn2r86
ENSMUSG00000095191	K9J7F4	Vmn1r249
ENSMUSG00000092506		Vmn1r-ps77
ENSMUSG00000109092		Gm18057
ENSMUSG00000095976	Q3UT86	Gm5891
ENSMUSG00000112712		Gm18755
ENSMUSG00000091511	E9PZX4	Vmn2r87
ENSMUSG00000092325		Gm18284
ENSMUSG00000034839	Q8BN59	Larp6
ENSMUSG00000108853		Gm18464
ENSMUSG00000063765	G3UXV0	Chadl
ENSMUSG00000063765	E9Q7T7	Chadl
ENSMUSG00000109405		Gm16443
ENSMUSG00000044176	E0CXN2	Spink10
ENSMUSG00000044176	E0CXG7	Spink10
ENSMUSG00000044176	A0A494BBD9	Spink10
ENSMUSG00000044176	A0A494B9W6	Spink10
ENSMUSG00000044176	E9Q5I2	Spink10
ENSMUSG00000044176	Q8CAC8	Spink10
ENSMUSG00000112195		Gm35405
ENSMUSG00000096766		Gm23793
ENSMUSG00000095962	D3YTY1	Vmn1r137
ENSMUSG00002075122		Gm55836
ENSMUSG00000096755		Ftl1-ps2
ENSMUSG00000095287		Vmn1r-ps78
ENSMUSG00000083257		Gm15568
ENSMUSG00000095163	D3YTY2	Vmn1r138
